Arabic, عربى
Product,المنتج
SKU,رمز المنتج
Price,السعر
Delete,احذف
Use Default Value,استخدام قيمة افتراضية
"There is no defined renderer for ""%1"" option type.","لا يوجد أي عارض محدد لنوع الخيار ""%1""."
This is implemented for bundle products only.,This is implemented for bundle products only.
"The product with the ""%1"" SKU isn't a bundle product.","The product with the ""%1"" SKU isn't a bundle product."
The bundle product can't contain another composite product.,The bundle product can't contain another composite product.
The product link needs an ID field entered. Enter and try again.,The product link needs an ID field entered. Enter and try again.
"The product link with the ""%1"" ID field wasn't found. Verify the ID and try again.","The product link with the ""%1"" ID field wasn't found. Verify the ID and try again."
"Could not save child: ""%1""","تعذر حفظ الطفل: ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","المنتج مع رمز المنتج المحدد: ""%1"" لا يحتوي على خيار: ""%2"""
"Child with specified sku: ""%1"" already assigned to product: ""%2""","رمز المنتج للفرع: ""%1"" تم تعيينه بالفعل للمنتج: ""%2"""
The bundle product doesn't exist. Review your request and try again.,The bundle product doesn't exist. Review your request and try again.
The option that was requested doesn't exist. Verify the entity and try again.,The option that was requested doesn't exist. Verify the entity and try again.
The option couldn't be saved.,The option couldn't be saved.
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The option with ""%1"" ID can't be deleted.","The option with ""%1"" ID can't be deleted."
Price Range,النطاق السعري
As Low as,منخفضة كـ
Together,معا
Separately,كل على حدة
Please specify product option(s).,يرجى تحديد خيار(ات) المنتج.
The options you selected are not available.,لا تتوفر الخيارات التي قمت بتحديدها.
The required options you selected are not available.,لا تتوفر الخيارات المطلوبة التي قمت بتحديدها.
Please select all required options.,الرجاء تحديد جميع الخيارات المطلوبة.
We can't add this item to your shopping cart right now.,لا يمكننا الآن إضافة هذا البند إلى عربة التسوق الخاصة بك.
N/A,غير متاح
Percent,النسبة المئوية
We can't save custom-defined options for bundles with dynamic pricing.,لا يمكن حفظ خيارات محدد- مخصصة للحزم مع التسعير الديناميكي.
Cancel,إلغاء
Add Selected Products,إضافة منتجات مختارة
Add Option,اضف خيار
New Option,خيار جديد
Option Title,عنوان الاختيار
Default Title,العنوان الافتراضي
Store View Title,عنوان طريقة عرض المتجر
Input Type,نوع الإدخال
Drop-down,القائمة المنسدلة
Radio Buttons,أزرار الراديو
Checkbox,صندوق الإختيار
Multiple Select,خيارات متعددة
Required,مطلوب
Is Default,هي افتراضية
Name,اسم
Default Quantity,الكمية الافتراضية
User Defined,المعرفة من قبل المستخدم
Price Type,نوع الأسعار
None,لا شئ
Quantity:,الكمية:
Choose a selection...,اختيار تحديد...
Ship Bundle Items,اشحن مجموعة العناصر
Position,موقع
There are no products in this option.,لا توجد أية منتجات في هذا الخيار.
Default,الافتراضي
Ordered,تم الطلب
Invoiced,فاتورة
Shipped,تم الشحن
Refunded,اعادة ايجاد
Canceled,تم الإلغاء
As low as,منخفضة
Regular Price,السعر العادي
From,من
To,إلى
Buy %1 with %2 discount each,شراء %1 مع %2 الخصم
Go back to product details,العودة إلى تفاصيل المنتج
Customize and Add to Cart,تخصيص وإضافة إلى سلة التسوق
* Required Fields,* حقول مطلوبة
Your Customization,التخصيص الخاص بك
Availability,التوفر
In stock,متوفر
Out of stock,غير متوفر بالمخزن
Summary,خلاصة
%1 x %2,%1 x %2
Availability:,متوفر:
Quantity,الكمية
Customize %1,تخصيص %1
No options of this product are available.,لا توجد خيارات متوفرة لهذا المنتج.
Gift Message,رسالة الاهداء
From:,من:
To:,إلى:
Message:,الرسالة:
Product Name,اسم المنتج
Subtotal,الإجمالي
Discount Amount,تخفيض الكمية
Row Total,مجموع الصف
Qty Invoiced,الكمية المفوترة
Qty Shipped,الكمية المشحونة
Add Products to New Option,إضافة المنتجات إلى خيار جديد
"Add Products to Option ""%1""","إضافة المنتجات إلى الخيار ""%1"""
Select...,اختر...
Status,الحاله
Thumbnail,صورة مصغره
Type,النوع
Special Price,Special Price
Unique constraint violation found,Unique constraint violation found
Cancel,إلغاء
Add Selected Products,إضافة منتجات مختارة
Add Products to Option,إضافة المنتجات إلى الخيار
Select...,اختر...
Status,الحاله
ID,الرمز التعريفي
Thumbnail,صورة مصغره
Name,اسم
Type,النوع
SKU,SKU
Quantity,الكمية
Price,السعر
Always,دائماً
After number of attempts to login,بعد عدة محاولات لتسجيل الدخول
Provided form does not exist,النموذج المتوفر غير موجود
Incorrect CAPTCHA,كلمة التحقق غير صحيحة
Incorrect CAPTCHA.,كلمة التحقق غير صحيحة.
The account is locked. Please wait and try again or contact %1.,الحساب مقفل. الرجاء الانتظار والمحاولة مرة أخرى أو الاتصال على %1.
Please enter the letters and numbers from the image,Please enter the letters and numbers from the image
<strong>Attention</strong>: Captcha is case sensitive.,<strong>تنبيه</strong>: كلمة التحقق حساسة لحالة الأحرف.
Reload captcha,إعادة تحميل كلمة التحقق
Please type the letters and numbers below,Please type the letters and numbers below
Attention: Captcha is case sensitive.,انتباه: كلمة التحقق حساسة لحالة الأحرف.
CAPTCHA,كلمة التحقق
Enable CAPTCHA in Admin,تمكين كلمة التحقق للمشرف
Font,الخط
Forms,النماذج
Displaying Mode,وضع العرض
Number of Unsuccessful Attempts to Login,عدد المحاولات الغير ناجحة لتسجيل الدخول
"If 0 is specified, CAPTCHA on the Login form will be always available.","إذا تم تحديد ""0""، كلمة التحقق في نموذج تسجيل الدخول سوف تكون متاحة دائماً."
CAPTCHA Timeout (minutes),مهلة كلمة التحقق (بالدقائق)
Number of Symbols,عدد الرموز
Please specify 8 symbols at the most. Range allowed (e.g. 3-5),الرجاء تحديد 8رموز على الأكثر. النطاق المسموح به (مثلاً 3-5)
Symbols Used in CAPTCHA,الرموز المستخدمة في كلمة التحقق
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","الرجاء استخدام الأحرف (إلى z أو A إلى Z) أو أرقام (0-9) فقط في هذا الحقل. لايسمح بأية مسافات أو أحرف أخرى. < br/> الأحرف المماثلة (على سبيل المثال، ""i""، ""l""، ""1"") تقلل فرصة التعرف الصحيح من جانب العميل."
Case Sensitive,تحسس حالة الأحرف
Enable CAPTCHA on Storefront,تمكين كلمة التحقق في الواجهة
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","يتم دوماً تمكين كلمة التحقق لأشكال ""نسيت كلمة المرور"" و ""إنشاء مستخدم"" إذا تم الإختيار."
Root,الجذر
Delete,احذف
Save,حفظ
Use Config Settings,استخدام إعدادات التكوين
